id,season,city,date,team1,team2,toss_winner,toss_decision,result,dl_applied,winner,win_by_runs,win_by_wickets,player_of_match,venue,umpire1,umpire2,umpire3
1,2019,Chennai,23-03-2019,Royal Challengers Bangalore,Chennai Super Kings,Chennai Super Kings,field,normal,0,Chennai Super Kings,0,7,Harbhajan Singh,M.A.Chidambaram Chepauk Stadium,B Oxenford,A Dandekar,Nitin Menon
2,2019,Kolkata,24-04-2019,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,6,Andre Russell,Eden Gardens,C Gaffaney,Anil Chaudhary,VA Kulkarni
3,2019,Mumbai,24-04-2019,Delhi Capitals,Mumbai Indians,Mumbai Indians,field,normal,0,Delhi Capitals,37,0,Rishabh Pant,Wankhede Stadium,S Ravi,Yeshwant Barde,Nandan
4,2019,Jaipur,25-04-2019,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,field,normal,0,Kings XI Punjab,14,0,Chris Gayle,Sawai Mansingh Stadium,C Shamshuddin,KN Anantha Padmanabhan,B Oxenford
5,2019,Delhi,26-04-2019,Delhi Capitals,Chennai Super Kings,Delhi Capitals,bat,normal,0,Chennai Super Kings,0,6,Shane Watson,Feroz Shah Kotla,M Erasmus,Nitin Menon,A Dandekar
6,2019,Kolkata,27-04-2019,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kolkata Knight Riders,28,0,Andre Russell,Eden Gardens,AK Chaudhary,VA Kulkarni,C Gaffaney
7,2019,Bengaluru,28-04-2019,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Mumbai Indians,6,0,Jasprit Bumrah,M.Chinnaswamy Stadium,S Ravi,Nandan,Yeshwant Barde
8,2019,Hyderabad,29-04-2019,Rajasthan Royals,Sunrisers Hyderabad,Rajasthan Royals,bat,normal,0,Sunrisers Hyderabad,0,5,Rahid Khan,Rajiv Gandhi International Stadium,B Oxenford,C Shamshuddin,KN Anantha Padmanabhan
9,2019,Punjab,30-04-2019,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,field,normal,0,Kings XI Punjab,0,8,Mayank Agarwal,Punjab Cricket Association IS Bindra Stadium,VA Kulkarni,C Gaffaney,AK Chaudhary
10,2019,Delhi,30-04-2019,Kolkata Knight Riders,Delhi Capitals,Delhi Capitals,field,Super Over,0,Delhi Capitals,0,0,Prithvi Shaw,Feroz Shah Kotla,A Dandekar,Nitin Menon,M Erasmus
11,2019,Hyderabad,31-04-2019,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,normal,0,Sunrisers Hyderabad,118,0,Jonny Bairstow,Rajiv Gandhi International Stadium,KN Anantha Padmanabhan,S Ravi,C Shamshuddin
12,2019,Chennai,31-04-2019,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,field,normal,0,Chennai Super Kings,8,0,MS Dhoni,M.A.Chidambaram Chepauk Stadium,Nandan,Yeshwant Barde,B Oxenford
13,2019,Punjab,01-05-2019,Kings XI Punjab,Delhi Capitals,Delhi Capitals,field,normal,0,Kings XI Punjab,14,0,Sam Curran,Punjab Cricket Association IS Bindra Stadium,C Gaffaney,Anil Chaudhary,VA Kulkarni
14,2019,Jaipur,02-05-2019,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,normal,0,Rajasthan Royals,0,7,Shreyas Gopal,Sawai Mansingh Stadium,M Erasmus,A Dandekar,Nitin Menon
15,2019,Mumbai,03-05-2019,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,normal,0,Mumbai Indians,37,0,Hardik Pandya,Wankhede Stadium,B Oxenford,R Tucker,Yeshwant Barde
16,2019,Delhi,04-05-2019,Delhi Capitals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Sunrisers Hyderabad,0,5,Jonny Bairstow,Feroz Shah Kotla,KN Anantha Padmanabhan,C Shamshuddin,S Ravi
17,2019,Bengaluru,05-05-2019,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,normal,0,Kolkata Knight Riders,0,5,Andre Russell,M.Chinnaswamy Stadium,C Gaffaney,Anil Chaudhary,Nandan
18,2019,Chennai,06-05-2019,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,normal,0,Chennai Super Kings,22,0,Harbhajan Singh,M.A.Chidambaram Chepauk Stadium,KN Anantha Padmanabhan,R Tucker,C Shamshuddin
19,2019,Hyderabad,06-05-2019,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,normal,0,Mumbai Indians,40,0,Alzarri Joseph,Rajiv Gandhi International Stadium,Nitin Menon,A Dandekar,M Erasmus
