Date,Tweet_id,User_name,Screen_name,Location,Tweet
13-08-2013,1.12247e+18,b'Express Sports',b'IExpressSports',b'New Delhi',"b""RT @IExpressSports: #IPL2019 #SRHvKXIP\n\nSunrisers' real test against Kings XI Punjab as Warner set to bid adieu\n\nPreview: \nhttps://t.co/VXD\xe2\x80\xa6"""
29-07-2008,1.12247e+18,b'IndianPremierLeague',b'IPL',"b'Mumbai, India'","b'Match 46. 19.6: N Saini to S Rutherford, 6 runs, 187/5 https://t.co/UjPt91UQvD #DCvRCB #VIVOIPL'"
13-08-2013,1.12247e+18,b'Express Sports',b'IExpressSports',b'New Delhi',"b""#IPL2019 #SRHvKXIP\n\nSunrisers' real test against Kings XI Punjab as Warner set to bid adieu\n\nPreview: \nhttps://t.co/VXDT2aMGwH"""
29-07-2008,1.12247e+18,b'IndianPremierLeague',b'IPL',"b'Mumbai, India'","b'Match 46. 19.4: N Saini to A Patel, 4 runs, 180/5 https://t.co/UjPt91UQvD #DCvRCB #VIVOIPL'"
29-07-2008,1.12247e+18,b'IndianPremierLeague',b'IPL',"b'Mumbai, India'","b'Match 46. 19.2: N Saini to S Rutherford, 4 runs, 175/5 https://t.co/UjPt91UQvD #DCvRCB #VIVOIPL'"
29-07-2008,1.12247e+18,b'IndianPremierLeague',b'IPL',"b'Mumbai, India'","b'Match 46. 19.1: N Saini to S Rutherford, 4 runs, 171/5 https://t.co/UjPt91UQvD #DCvRCB #VIVOIPL'"
01-04-2010,1.12247e+18,b'TOI Sports',b'toisports',"b'New Delhi, India'",b'#IPL2019 | Match 46 | #DCvRCB | @DelhiCapitals | @RCBTweets\n\n@akshar2026 hits two fours and Rutherford smokes a six\xe2\x80\xa6 https://t.co/d6XTePGa8Q'
15-07-2011,1.12247e+18,b'Firstpost Sports',b'FirstpostSports',b'India',"b'@SDhawan25 0, 4, 1, 6, 1, 4\n\n16 off the penultimate over! #DC continue to get boundaries despite fall of wickets.\xe2\x80\xa6 https://t.co/ngD7Tvz2nc'"
20-06-2014,1.12247e+18,b'Dhanraj Nathwani',b'DhanrajNathwani',b'',b'Highly commendable move by @ICC breaking gender barriers! Hope to see more of this in the coming matches. Something\xe2\x80\xa6 https://t.co/Gz22HQEaHM'
29-07-2008,1.12247e+18,b'IndianPremierLeague',b'IPL',"b'Mumbai, India'","b'Match 46. 18.6: U Yadav to A Patel, 4 runs, 167/5 https://t.co/UjPt91UQvD #DCvRCB #VIVOIPL'"
